Feature,Importance
sender_call_contract_tx_ratio,0.30781937040707913
z_trace_involved_amt,0.14130339175938264
trace_involved_amt,0.12647613787155473
sender_call_contract_day_ratio,0.09516894905152698
trace_amt,0.058867940657500936
z_sender_lifetime_block,0.05546616405754161
z_contract_block_involved,0.054845515506332036
contract_tx_count,0.05002060995600354
contract_block_involved,0.03076944101634127
distinct_contract_sender_called,0.01618981534971969
z_trace_amt,0.014607362841947375
z_contract_tx_count,0.012084838516331716
z_contract_main_active_days,0.010490671713614397
sender_tx_count,0.007853315799008193
sender_main_active_days,0.0035121899741736417
sender_block_involved,0.0028575423690662227
sender_days_call_contract,0.0020904486032055514
sender_block_ratio,0.0019511811876607712
z_sender_lifetime_days,0.0015062965295102439
z_contract_lifetime_days,0.0015043625414149894
nonce,0.0011537135711539
z_sender_main_active_days,0.0010877975410035327
z_contract_lifetime_block,0.0008718232537518815
sender_tx_count_per_contract,0.0004311987842301185
z_depth,0.00026123078439371046
contract_interact,0.0002591146229488472
receipt_gas_used,0.00020318182106194833
z_receipt_gas_used,0.00010704047206605235
sender_active_day_ratio,9.4963730573066e-05
gas,5.126368811248058e-05
z_distinct_contract_sender_called,2.9868356915266892e-05
max_breadth,2.706444508635055e-05
z_sender_days_call_contract,2.6870881983453338e-05
z_nonce,6.6843187658661554e-06
z_gas_price,1.3238008513845427e-06
z_distinct_was_called_in_sample,7.65272002802875e-07
involved_trace_ratio,5.48946183660479e-07
tx_count_per_distinct_caller,0.0
distinct_sender_in_contract,0.0
z_value,0.0
contract_block_per_tx,0.0
z_receipt_cumulative_gas_used,0.0
z_gas,0.0
z_distinct_sender_call_in_sample,0.0
sender_block_per_tx,0.0
z_max_breadth,0.0
z_contract_involved_amt,0.0
contract_involved_amt,0.0
contract_active_day_ratio,0.0
depth,0.0
distinct_was_called_in_sample,0.0
distinct_sender_call_in_sample,0.0
z_distinct_sender_in_contract,0.0
gas_price,0.0
receipt_cumulative_gas_used,0.0
z_sender_tx_count_call_contract,0.0
z_contract_interact,0.0
z_sender_tx_count,0.0
z_sender_block_involved,0.0
sender_tx_count_call_contract_per_days,0.0
